country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",6/1/2026 20:00,24.75746,84.366208,SO2,5,17,12
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",6/1/2026 20:00,24.75746,84.366208,CO,101,103,102
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",6/1/2026 20:00,24.75746,84.366208,OZONE,1,51,32
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",6/1/2026 20:00,25.42742023,86.13886079,OZONE,8,87,61
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",6/1/2026 20:00,26.80365,84.51954,PM2.5,157,332,257
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",6/1/2026 20:00,26.80365,84.51954,NH3,1,1,1
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",6/1/2026 20:00,26.446912,91.439057,PM2.5,94,167,116
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",6/1/2026 20:00,26.446912,91.439057,OZONE,15,16,16
India,Assam,Silchar,"Tarapur, Silchar - PCBA",6/1/2026 20:00,24.82827,92.79525,NH3,1,2,1
India,Assam,Silchar,"Tarapur, Silchar - PCBA",6/1/2026 20:00,24.82827,92.79525,CO,15,46,31
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",6/1/2026 20:00,26.987634,94.636574,PM10,42,86,61
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",6/1/2026 20:00,26.987634,94.636574,NO2,22,34,27
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",6/1/2026 20:00,16.9872867,81.7363176,NO2,20,45,31
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",6/1/2026 20:00,13.67,79.35,NO2,11,20,15
